호선명,역명,4시승차,4시하차,5시승차,5시하차,6시승차,6시하차,7시승차,7시하차,8시승차,8시하차,9시승차,9시하차,10시승차,10시하차,11시승차,11시하차,12시승차,12시하차,13시승차,13시하차,14시승차,14시하차,15시승차,15시하차,16시승차,16시하차,17시승차,17시하차,18시승차,18시하차,19시승차,19시하차,20시승차,20시하차,21시승차,21시하차,22시승차,22시하차,23시승차,23시하차,0시승차,0시하차,1시승차,1시하차,2시승차,2시하차,3시승차,3시하차
4호선,미아사거리,70,0,16083,2976,40866,11486,110887,21641,121512,38717,70747,40535,48449,32519,44871,33771,48147,38598,48550,40056,44458,43387,48075,51558,52892,57618,52699,74200,54834,114053,41591,104222,40657,59091,25577,54051,19985,53053,10639,31955,1954,8572,1,0,0,0,0,0
4호선,길음,39,2,10618,2231,34195,9389,100953,15618,106630,30377,56115,27330,36828,20906,32653,22219,33765,26131,33328,29188,30021,30663,31232,33614,34869,37658,38583,50440,39723,78449,24818,73555,18681,44114,13884,42014,12936,44561,5889,30099,1015,7024,0,1,0,0,0,0
4호선,성신여대입구(돈암),65,12,6242,2038,20689,7903,57147,20100,70136,39328,44811,36042,33451,27394,32761,26582,38109,31570,38785,35388,36589,36572,39356,37358,45308,43494,50600,54350,56594,78119,37886,69383,33578,41522,34613,37534,32534,37594,15483,26734,2589,7162,3,8,0,9,0,0
4호선,한성대입구(삼선교),53,12,8413,1574,15479,8350,38176,21669,48782,31710,32736,28942,23719,18956,24119,17653,26600,19995,27036,21951,24672,20896,25966,22876,31393,26049,35031,32015,36539,44435,20826,37475,16582,24080,16629,22310,13802,24319,6796,15918,1198,9539,2,340,0,1,0,0
4호선,혜화,30,2,4639,2590,8885,22803,19973,54792,28263,148789,30063,111206,37299,78936,44950,72633,55304,86264,56382,108336,64974,92474,85771,78032,105178,77913,122904,84809,148515,108424,89456,82708,84245,30525,111935,25452,116179,23991,46135,15760,6463,6505,0,25,0,0,0,0
4호선,동대문,574,2,10438,3226,4965,16096,7014,44074,10692,96646,16698,85063,24007,73974,33856,65853,42818,54564,50061,59557,60471,52553,69416,45283,76557,36207,106229,29609,100901,24911,48115,31162,34970,22842,31714,16356,30511,11370,17819,9785,2203,2660,2,20,1,1,0,0
6호선,독바위,1,0,2637,335,5412,1230,15329,1924,15679,3111,8102,3545,5173,3168,4389,3215,4717,3178,4341,3639,3703,3658,3795,4516,3600,5634,3746,7419,3282,11513,2146,12026,1317,6973,1217,7263,916,6785,514,4547,83,1805,0,0,0,0,0,0
4호선,동대문역사문화공원,502,5,11685,1716,6366,15324,9248,31689,13397,94223,16273,51155,18988,37272,22095,35057,26895,35200,29753,37326,36827,35494,45050,32570,50950,30356,69095,31672,109014,36325,62744,48081,49492,29446,48467,21763,46156,17286,27616,11493,4650,3893,5,9,0,0,0,0
4호선,충무로,77,6,3679,3158,5199,22295,11995,59405,18203,214585,23748,123617,25835,59498,30065,49784,34405,47718,41554,50097,46763,44241,51446,38772,62988,38998,97286,44817,179203,52516,91224,34640,62237,19511,62390,18288,48815,17800,25989,13191,4935,4151,9,161,0,0,0,0
4호선,명동,25,4,1500,1527,3497,17938,6227,55810,14110,139728,27843,101811,37124,70046,41499,78958,43882,76221,50253,85768,58946,75897,69085,76112,79269,77862,99330,79283,153373,78943,97353,60721,86337,41151,91465,32065,85340,20742,40224,12499,2646,3706,1,148,0,0,0,0
