단어,빈도수
놀란,2
이신,2
계집,2
비슷,2
원숭이,2
레그,2
프레,2
아줌마,2
만화가,2
가나,2
건강,2
롭다,2
오로지,2
고리타,2
번작,2
치중,2
라보,2
이성,2
메타포,2
절절,2
나야,2
제트기,2
속도,2
이뻣다,2
개폭망,2
불어,2
차원,2
영향,2
성찰,2
명도,2
역쉬,2
감탄사,2
인대,2
편모,2
도사,2
우선,2
일반인,2
인간미,2
군더더기,2
밋밋,2
힐링,2
흡입,2
ㅤㅂㅘㅅ다,2
선리기연,2
거창,2
버젼,2
작성,2
매하,2
거릅니,2
기자,2
성취,2
예측,2
지진,2
편입,2
도도,2
레이건,2
코믹,2
개념,2
가도,2
경쟁,2
박차,2
오리,2
마음속,2
결핍,2
내일,2
관짝,2
파티,2
투수,2
블랙위도우,2
어깨,2
죽도,2
루고,2
을기,2
하루하루,2
러들,2
드릴,2
미국인,2
음식물,2
사적,2
바름,2
신중하,2
야합,2
안감,2
첫날,2
동시,2
장식,2
아이맥스,2
연령,2
비주,2
하락,2
래야,2
스탈,2
의아,2
거꾸로,2
사람과,2
반영,2
역작,2
닌다,2
주입,2
격차,2
방송,2
종이,2
피하,2
공기,2
노골,2
아픔,2
고마,2
부실,2
클로즈업,2
미네르바,2
사뿐,2
상승,2
부리,2
신안,2
나와라,2
깜깜,2
기념,2
덜덜,2
키스신,2
굿굿굿,2
배급사,2
개개인,2
정체,2
화장,2
ㅤㅂㅘㅅ네,2
오페라,2
물리,2
수정,2
혜자,2
웠습니,2
초월,2
선정,2
전보,2
대요,2
무협지,2
나리,2
스킬,2
비방,2
이드,2
부모님,2
드레스,2
구성원,2
유감,2
참사,2
회수,2
해소,2
데이트,2
편보,2
내인,2
마주,2
매달,2
스튜디오,2
나본,2
한가지,2
한쪽,2
고영상,2
미션,2
전무,2
원기,2
어머니,2
비롯,2
고해,2
니달리,2
갯가돗,2
괜춘,2
처치,2
멸망,2
시트,2
직함,2
개차반,2
시간대,2
알음,2
점더,2
고갈,2
대물,2
기한,2
제품,2
파주,2
안티,2
유행,2
천원,2
끄덕,2
차도,2
더보,2
별루,2
아일랜드,2
인종차별,2
유사,2
